,adi,aza,pga,tka,ama,yst,kgo,pan,ype,jpi,ech,rga,evu,tar,kda,mbe,siv,eiv,ofa,epo,ani,ekl,mbo,ago,ian,npo,rmc,ndo,ake,cmo,epa,sgo,kkn,ase,ecl,aha,sjo,tsw,est,jal,pcr,rwi,ewa,eol,mcy,kst,ero,owi,jla,kpe
ago,5824.954420422532,4882.191823351475,4379.576577707027,5513.681075288994,4477.460775930929,5226.257265003322,5338.803798605077,4727.3804585626485,4545.955895078614,4958.379876532253,4832.364742028482,4851.927452054492,4671.313091626379,6504.8003043905965,4982.084102060101,4818.845089852962,5782.775631130781,5281.28507088947,5357.882417522804,4064.4471948839487,4600.964572782537,4922.9787730600665,5187.525132469239,0.0,5589.437717695761,4079.67719311222,5020.225990929093,4370.819717169767,5542.363755655163,5116.505154888442,3636.664818209124,5124.202572108172,5571.415260057358,5157.810000378067,4032.489801599007,4559.916336951808,5939.213921050496,5212.7222254787375,5040.89357158034,5352.844103838631,6030.401313345572,4441.640462711947,4609.126706871921,4532.1105458715365,5208.031969947957,5199.433911494597,5002.240198151224,4656.617549251817,4911.2292758534495,5798.115124762529
ian,5408.408268612864,5868.636724146418,5227.40231855173,5403.447325550606,4839.76063457688,5518.390616837485,5782.655272450537,5572.524203626217,5853.139243175409,5503.406308823654,5655.752204614343,5730.209943797871,6570.746685118823,6265.150995786135,5618.651795582282,5584.9426138502085,4443.66740429569,4348.135692454871,5793.882981213894,4698.9280692515395,4521.094668329784,4958.974490759153,5114.599984358503,5589.437717695761,0.0,4643.417491460357,4724.357204953918,4993.220904386266,4592.522618343866,5290.921753343174,5501.55423494125,5306.830127298216,5897.883518687021,5551.177893024146,4780.693255167079,6259.002236778639,5022.218832348905,5625.265060421598,5889.065800277664,4524.800990098902,6170.376487703161,4957.121543799385,5782.386617997797,5274.1103515190125,5857.268561368857,4840.856845642102,3791.8110448702478,4978.750947777967,4711.471001714857,3970.7635285924543
npo,5200.888962475549,5007.937998817478,3367.6482892368676,5483.364934052812,3463.431679707281,4701.57303463426,5021.312975706653,4179.248018483708,4497.8502642929325,4515.0,4461.728252594503,3778.5523683019137,4155.648685825115,6169.327110795795,4536.319653639942,4399.447010704868,4196.240221912944,4119.803878827243,4755.840199165653,3469.8329930992354,4008.8286319073304,4075.02294472068,3849.672323717955,4079.67719311222,4643.417491460357,0.0,3650.1310935362308,3957.499842072012,3897.0712079714426,4339.930529397907,3778.8949442925773,4306.846874454674,4130.669195178912,4186.711836274381,4293.24352908148,4288.7311643422,4771.63011978087,3932.978642199828,4382.157687715037,3775.686162805378,6092.184829763457,3387.57523901684,4320.864149681172,4080.213229722192,4924.20927662503,4530.673790949862,4060.090762532286,4331.37310791855,4108.414657748169,4519.008408932207
rmc,5469.482516655484,5289.494871913575,4546.146500059143,5335.368965685504,4180.8415420821675,4890.612231612725,5194.9678536060255,5238.377515987178,4596.956819462197,5012.598128715287,4938.182459164505,4407.83087243601,5336.218417568756,6026.095916926646,3786.3957796300165,4749.567453989889,3823.0622542668593,3730.3250528606754,5549.7499943691155,3831.609322464909,4638.5372694417365,4843.160022134309,4655.709612937645,5020.225990929093,4724.357204953918,3650.1310935362308,0.0,4668.853606614797,4502.478095449216,4845.131370767979,4660.126393135705,5199.821439241929,5200.535260913053,4589.630159391931,4435.883790182064,5562.41188694257,4843.85806976216,4557.166883053549,5136.804356796159,4567.655525540427,6220.177891346838,4283.406471489719,5638.6356505807325,3994.15034769599,5093.655269057772,4903.801178677619,4142.426342133315,4530.181232577787,3709.4193615712957,4452.995396359624
ndo,5206.2284813480865,4571.685465996103,4481.8201659593615,5583.5648111220125,3924.0705905984923,5500.572879255396,4973.843282613557,5012.734882277338,4862.114766230842,4379.343329769887,4822.64139243216,4301.177861935031,4836.716758297926,6483.044038104323,4998.459462674475,4952.897434835492,4969.661054840662,4802.038004847525,5063.2877658691295,3706.095249720385,4403.31556897754,4773.62179063235,4630.869680740325,4370.819717169767,4993.220904386266,3957.499842072012,4668.853606614797,0.0,4631.103432228652,5257.832252934663,4623.25296733804,4731.140771526461,4976.862967773977,4424.809713422714,4780.566389038018,4981.722392907899,5544.61152832189,4691.149965626765,5078.004037020845,4555.371883831221,5940.43996687114,3960.5182741656427,4768.91266432926,5032.009638305555,5512.090347590467,4332.465810597932,4162.48675673569,4206.481902968322,5080.655075873583,4957.700676725048
ake,5285.776196548621,5918.012588699014,4892.6351795326,5892.70201181088,4722.62882301796,5252.8517016949945,5101.577403117589,4903.7889432560205,5517.264267732696,4684.738733376707,4844.354755795657,4204.111796800841,5022.2271951794455,6759.481710900622,5655.169847139871,4800.757648538405,4542.752689724591,4630.174510750107,5342.6195821899955,4322.67637002818,4509.108892009595,5146.920438475808,4203.90901423901,5542.363755655163,4592.522618343866,3897.0712079714426,4502.478095449216,4631.103432228652,0.0,5270.054553797332,5017.283228999535,5141.004182064045,4497.234928264255,4563.761387276946,5606.022297494008,5098.576566062336,5355.425473293415,4009.723057768454,5899.722874847597,4267.145650197565,6292.956221045876,4256.984378641763,5337.380537304793,5012.160212922169,5141.089670488154,5554.605386523871,4709.070078051504,5108.288265162803,4496.843893221111,4808.5264894767915
cmo,4694.97273687505,4641.982981442306,4515.667392534574,5149.398799860038,4076.6017710833617,4137.976800321626,5639.133532733553,4139.706873680792,4886.104992731941,5249.696753146794,5033.58222342697,5281.858101085261,6422.305427181114,4553.457367759141,5877.389301382034,6120.974513915247,4521.783387116194,4142.031989253584,4621.771846380996,4807.524518918234,3953.3282180967467,3332.1385025235672,3939.7175025628426,5116.505154888442,5290.921753343174,4339.930529397907,4845.131370767979,5257.832252934663,5270.054553797332,0.0,4429.26269259343,4405.17025777665,5203.015183525798,4659.084781370693,4705.296908803949,5953.950285314784,4066.003074273309,5324.673135507944,4734.16064366219,4244.527888941242,5566.911800989845,4555.598204407408,5419.713092037253,4691.690207164152,5783.711438168401,4227.449349193908,4457.110050245562,4682.161680249839,5740.439704412895,4889.250862862326
epa,5470.302642450416,4479.631681288094,4475.662409074214,4992.339732029462,4179.309512347703,4600.03891287889,5036.425418885899,4206.061934874473,3810.0330707226153,4600.518231677818,4125.40398021818,4062.3277809649976,4713.134095270365,6055.27340423205,5008.674175867302,4597.12769019961,5383.459389649001,4623.607357897078,4819.636604558481,3916.5050746807415,4525.90919042793,4708.7400650280115,4758.550199377958,3636.664818209124,5501.55423494125,3778.8949442925773,4660.126393135705,4623.25296733804,5017.283228999535,4429.26269259343,0.0,4513.987261834043,4917.114092636046,4175.02275442901,3853.553554837405,4252.775329123325,5337.578758201138,4688.851885056724,4950.171815199953,4898.0780924766805,5910.990526130117,4015.540685885277,4517.374901422285,3784.919946313264,4332.43188059547,5099.134632464611,4762.939638500577,4431.421668042886,4919.322311050578,5322.424447561468
sgo,3974.510032695854,4496.81498396365,4803.592717956009,5180.733635306876,4085.0849440372717,4524.145775723855,4958.48343750385,3834.2811581833694,4633.900624743695,4480.935505003392,4373.578969219602,5022.284938153151,5805.391976430187,4794.334260353568,6016.248831290142,5531.8179651901055,4981.010540041047,4539.105198164061,3824.4798339120575,4357.433992615379,4336.921604087397,4667.147522845191,4163.757317615906,5124.202572108172,5306.830127298216,4306.846874454674,5199.821439241929,4731.140771526461,5141.004182064045,4405.17025777665,4513.987261834043,0.0,4211.16610928612,4435.345533326575,4748.336761435524,4928.372449399497,4853.069956223586,4715.132765893236,4520.609250974917,4056.1491589930465,5177.160418607868,4300.8559613174675,3409.6743246239807,5116.454045528016,5487.058501601746,4616.156084882746,4389.296185039237,4075.825192522368,5786.279720165627,4503.164998087456
kkn,5195.632973950334,5454.939138065612,4965.625136878538,6163.892195682854,4398.453250859898,5263.753698645103,5530.668133236707,4507.745112581234,5468.015453526078,5251.303171594647,4934.235604427498,3994.8772196401733,4719.586846324581,6469.194462991509,6060.0016501647915,5442.510817628202,5070.048717714653,5050.331672276584,4956.046004629094,4739.883437385354,5284.5848465134895,5445.542213590856,4493.275753834834,5571.415260057358,5897.883518687021,4130.669195178912,5200.535260913053,4976.862967773977,4497.234928264255,5203.015183525798,4917.114092636046,4211.16610928612,0.0,4399.085586800966,5763.636872669895,4859.180692256669,5439.590425758175,3714.131257777517,5100.528600057057,4092.5114538630187,6307.316386546659,4159.428566522089,4384.005132296266,5332.968216668837,5612.42808417177,5609.413605716733,5301.530628035643,5075.443330389967,5289.434846937808,5252.6436201212055
ase,4798.898623642721,4809.712777287226,5013.575670118084,5394.511006569548,4482.4028154551215,4421.089571587529,4806.5022625605825,4592.9887872713125,4355.437176679283,4487.860626178135,4156.60041379972,4046.1317329024273,5115.831506216756,6307.291732590145,5649.382090105077,4823.908166621749,4680.852272823829,4361.134714727349,4901.865971239932,4094.255854242624,4583.703851690247,5298.578111153973,4137.7040735170995,5157.810000378067,5551.177893024146,4186.711836274381,4589.630159391931,4424.809713422714,4563.761387276946,4659.084781370693,4175.02275442901,4435.345533326575,4399.085586800966,0.0,5119.800191413724,4523.437741364415,5321.042191150151,3969.2078554794784,5021.119596265359,4531.081769290861,6299.089616762092,4026.526046109723,4870.875588639069,4219.148255276176,4737.522875934215,5237.935757528914,4873.243991429118,4124.854542889967,5200.559296844907,4840.948977215108
ecl,5651.6666568367245,5098.756417009936,4381.767109283651,4576.862353184767,4242.317409152691,4925.859823421693,5337.2852650013,4734.257280714684,4717.738547227898,5278.226690849873,4793.598126668526,5094.994406277597,5713.105285219239,5773.808015512813,4728.982342957098,4644.815389227004,4996.336457845889,3990.1536311275036,5053.0396792425845,3868.682333818583,4382.948436840205,4517.777993660157,5157.329832384196,4032.489801599007,4780.693255167079,4293.24352908148,4435.883790182064,4780.566389038018,5606.022297494008,4705.296908803949,3853.553554837405,4748.336761435524,5763.636872669895,5119.800191413724,0.0,5178.994786635723,5182.589507186538,5687.644943208041,5216.840614778259,5007.497578631466,6209.4994967388475,4502.464436283756,4738.882885237828,3910.3713378654975,4850.433073448185,4759.552605024972,3728.9396616196404,4306.617117878022,4599.591829717067,4588.227435513632
aha,5894.119527121927,5769.860310267485,5007.799916130835,5555.2492293325595,5427.593020851877,5679.107148135172,5213.503524502501,4439.336099013004,4773.530140263074,4721.335827919891,4443.831229918616,4248.586235443503,3779.1682947442287,7167.500540634789,5743.982329360006,4564.741285111348,6014.720691769486,5775.440502680293,5122.104547937302,4417.265217303575,5558.281928797783,5927.317352732179,5190.587827982492,4559.916336951808,6259.002236778639,4288.7311643422,5562.41188694257,4981.722392907899,5098.576566062336,5953.950285314784,4252.775329123325,4928.372449399497,4859.180692256669,4523.437741364415,5178.994786635723,0.0,6618.657341183331,4684.239746212826,5261.953914659459,5459.572968648738,6349.881967406954,4795.6164358714095,4365.228287272042,4656.063251288582,4847.8230165714585,6330.991233606314,5444.353956164129,5146.028760121731,5291.247867941928,5820.931025188324
